price_range,freq
1526201 to 1528200,0
1528201 to 1530200,0
1530201 to 1532200,0
1532201 to 1534200,0
1534201 to 1536200,0
1536201 to 1538200,0
1538201 to 1540200,0
1540201 to 1542200,0
1542201 to 1544200,0
1544201 to 1546200,0
1546201 to 1548200,0
1548201 to 1550200,0
1550201 to 1552200,1
1552201 to 1554200,0
